text,url
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),https://books.toscrape.com/catalogue/the-bone-hunters-lexy-vaughan-steven-macaulay-2_343/index.html
The Darkest Corners,https://books.toscrape.com/catalogue/the-darkest-corners_399/index.html
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",https://books.toscrape.com/catalogue/will-grayson-will-grayson-will-grayson-will-grayson_419/index.html
Where She Went (If I Stay #2),https://books.toscrape.com/catalogue/where-she-went-if-i-stay-2_417/index.html
Two Summers,https://books.toscrape.com/catalogue/two-summers_415/index.html
Tell Me Three Things,https://books.toscrape.com/catalogue/tell-me-three-things_395/index.html
Seven Brief Lessons on Physics,https://books.toscrape.com/catalogue/seven-brief-lessons-on-physics_219/index.html
The Selfish Gene,https://books.toscrape.com/catalogue/the-selfish-gene_81/index.html
The Hiding Place,https://books.toscrape.com/catalogue/the-hiding-place_406/index.html
A Fierce and Subtle Poison,https://books.toscrape.com/catalogue/a-fierce-and-subtle-poison_875/index.html
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,https://books.toscrape.com/catalogue/the-mathews-men-seven-brothers-and-the-war-against-hitlers-u-boats_408/index.html
Burning,https://books.toscrape.com/catalogue/burning_884/index.html
America's War for the Greater Middle East: A Military History,https://books.toscrape.com/catalogue/americas-war-for-the-greater-middle-east-a-military-history_361/index.html
Scarlett Epstein Hates It Here,https://books.toscrape.com/catalogue/scarlett-epstein-hates-it-here_828/index.html
Catherine the Great: Portrait of a Woman,https://books.toscrape.com/catalogue/catherine-the-great-portrait-of-a-woman_424/index.html
A Short History of Nearly Everything,https://books.toscrape.com/catalogue/a-short-history-of-nearly-everything_457/index.html
"Nightingale, Sing",https://books.toscrape.com/catalogue/nightingale-sing_823/index.html
Library of Souls (Miss Peregrine’s Peculiar Children #3),https://books.toscrape.com/catalogue/library-of-souls-miss-peregrines-peculiar-children-3_816/index.html
Tell the Wolves I'm Home,https://books.toscrape.com/catalogue/tell-the-wolves-im-home_439/index.html
My Life Next Door (My Life Next Door ),https://books.toscrape.com/catalogue/my-life-next-door-my-life-next-door_535/index.html
South of Sunshine,https://books.toscrape.com/catalogue/south-of-sunshine_544/index.html
Future Shock (Future Shock #1),https://books.toscrape.com/catalogue/future-shock-future-shock-1_519/index.html
